,Latitude,Longitude
0,26.79247,80.88419
1,26.76025,80.92008
2,26.7878,80.9672
3,26.75589,80.92925
4,26.84236,80.87682
5,26.83887,80.9449
6,26.7602,80.91997
7,26.8398,80.90366
8,26.85856,80.87309
9,26.75589,80.92925
10,26.85643,80.89118
11,26.7878,80.9672
12,26.87485,80.88768
13,26.84018,80.90054
14,26.84241,80.86114
15,26.84841,80.95065
16,26.79735,80.87771
17,26.86538,80.95977
18,26.8338,80.95762
19,26.78747,80.89273
20,26.82085,80.91199
21,26.78635,80.94477
22,26.87858,81.01729
23,26.87148,80.92736
24,26.84832,80.91464
25,26.86981,81.03606
26,26.86725,80.95282
27,26.853,80.9368
28,26.94016,81.20876
29,26.85178,80.93387
30,26.82661,80.96313
31,26.85797,80.92407
32,26.81038,80.89383
33,26.89124,81.05794
34,26.87528,81.00891
35,26.87528,81.00891
36,26.94016,81.20876
37,26.83208,80.94082
38,26.91108,80.94855
39,26.856,80.95912
40,26.81037,80.9137
41,26.84923,80.99726
42,26.86839,80.9332
43,26.87858,81.01729
44,26.84837,80.94386
45,26.8762,80.95586
46,26.84811,80.90487
47,26.88121,80.92615
48,26.94016,81.20876
49,26.86375,81.00033
50,26.94016,81.20876
51,26.85856,80.87309
52,26.88313,81.00531
53,26.87689,80.92425
54,26.84167,80.87735
55,26.83086,80.88195
56,26.88669,80.99334
57,26.84216,80.92879
58,26.8709,80.91336
59,26.88297,80.89533
60,26.83599,80.94921
61,26.86858,80.89098
62,26.87418,80.94462
63,26.87182,80.93111
64,26.86227,80.88607
65,26.81158,80.94939
66,26.84762,80.92227
67,26.85473,80.91709
68,26.86056,80.8984
69,26.85441,80.9154
70,26.85767,80.91159
71,26.85185,80.89389
72,26.86432,80.90442
73,26.89822,80.94757
